职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
python中级开发工程师,5-8K,长沙,岳麓区,人人乐,经验不限,大专,"['餐补', '加班补助', '年终奖', '全勤奖', '五险']","['Python', 'Scrapy', 'MySQL', '爬虫经验']",5.0,8.0,1.0,6.5,0,0,4,大专,开发工程师,"['餐补', '加班补助', '年终奖', '全勤奖', '五险']","['Python', 'Scrapy', 'MySQL', '爬虫经验']",5,4,0,1,0
Java/python/C/C++/golang/JS开发工程师,15-30K·14薪,长沙,岳麓区,望城坡,经验不限,本科,"['节日福利', '员工旅游', '年终奖', '加班补助', '补充医疗保险', '免费班车', '交通补助', '节假日加班费', '股票期权', '零食下午茶', '五险一金', '法定节假日三薪', '绩效奖金', '生日福利', '定期体检', '夜班补助', '离职补偿', '保底工资', '团建聚餐', '带薪年假']","['C', 'C++', '桌面开发经验']",15.0,30.0,1.1666666666666667,26.25,0,0,5,本科,开发工程师,"['节日福利', '员工旅游', '年终奖', '加班补助', '补充医疗保险', '免费班车', '交通补助', '节假日加班费', '股票期权', '零食下午茶', '五险一金', '法定节假日三薪', '绩效奖金', '生日福利', '定期体检', '夜班补助', '离职补偿', '保底工资', '团建聚餐', '带薪年假']","['C', 'C++', '桌面开发经验']",20,3,0,0,0
车载测试工程师,8-10K,长沙,岳麓区,望城坡,3-5年,大专,"['五险一金', '意外险', '零食下午茶', '股票期权', '法定节假日三薪', '带薪年假', '餐补', '定期体检', '团建聚餐', '节日福利', '年终奖', '员工旅游']","['Java', '测试工作经验', 'iOS/Android测试经验', '自动化测试', '性能测试', '压力测试', '掌握软件测试理论和流程', 'JMeter', 'Python']",8.0,10.0,1.0,9.0,3,5,4,大专,测试工程师,"['五险一金', '意外险', '零食下午茶', '股票期权', '法定节假日三薪', '带薪年假', '餐补', '定期体检', '团建聚餐', '节日福利', '年终奖', '员工旅游']","['Java', '测试工作经验', 'iOS/Android测试经验', '自动化测试', '性能测试', '压力测试', '掌握软件测试理论和流程', 'JMeter', 'Python']",12,9,0,1,0
数据分析师,9-13K,长沙,岳麓区,观沙岭,3-5年,大专,"['年终奖', '员工旅游', '定期体检', '五险一金', '带薪年假', '节日福利']","['Python', 'Java', 'Pandas', 'Numpy', 'MySQL', 'Oracle']",9.0,13.0,1.0,11.0,3,5,4,大专,数据分析/工程师,"['年终奖', '员工旅游', '定期体检', '五险一金', '带薪年假', '节日福利']","['Python', 'Java', 'Pandas', 'Numpy', 'MySQL', 'Oracle']",6,6,0,1,0
python开发工程师,20-35K,长沙,,,经验不限,本科,"['定期体检', '节日福利', '五险一金', '股票期权', '年终奖', '带薪年假', '员工旅游']","['odoo16', 'FASTAPI', '其他', '金融借贷类项目', 'Python']",20.0,35.0,1.0,27.5,0,0,5,本科,开发工程师,"['定期体检', '节日福利', '五险一金', '股票期权', '年终奖', '带薪年假', '员工旅游']","['odoo16', 'FASTAPI', '其他', '金融借贷类项目', 'Python']",7,5,0,1,0
Python后端开发工程师,15-25K·13薪,长沙,,,1-3年,本科,"['团建聚餐', '绩效奖金', '餐补', '零食下午茶', '生日福利', '年终奖', '意外险', '五险一金', '节日福利', '补充医疗保险', '带薪年假']","['Python', 'Django', 'Flask', 'Pandas', 'MySQL', '架构设计经验', '后端开发']",15.0,25.0,1.0833333333333333,21.666666666666664,1,3,5,本科,开发工程师,"['团建聚餐', '绩效奖金', '餐补', '零食下午茶', '生日福利', '年终奖', '意外险', '五险一金', '节日福利', '补充医疗保险', '带薪年假']","['Python', 'Django', 'Flask', 'Pandas', 'MySQL', '架构设计经验', '后端开发']",11,7,0,1,0
python开发工程师,5-10K,长沙,岳麓区,麓山路,1-3年,本科,"['意外险', '五险一金', '餐补', '零食下午茶', '股票期权', '年终奖', '团建活动', '团建聚餐', '免费工装', '员工旅游', '带薪年假', '节日福利', '绩效奖金', '生日福利']","['机器学习经验', 'Linux开发/部署经验', 'Python']",5.0,10.0,1.0,7.5,1,3,5,本科,开发工程师,"['意外险', '五险一金', '餐补', '零食下午茶', '股票期权', '年终奖', '团建活动', '团建聚餐', '免费工装', '员工旅游', '带薪年假', '节日福利', '绩效奖金', '生日福利']","['机器学习经验', 'Linux开发/部署经验', 'Python']",14,3,0,1,0
高薪急招python工程师,15-18K,长沙,岳麓区,含浦,3-5年,本科,"['生日福利', '有无线网', '保底工资', '年终奖', '零食下午茶', '员工旅游', '团建聚餐', '节日福利', '全勤奖', '底薪加提成']","['Scrapy', '爬虫经验', 'MySQL', 'Redis', 'Python']",15.0,18.0,1.0,16.5,3,5,5,本科,开发工程师,"['生日福利', '有无线网', '保底工资', '年终奖', '零食下午茶', '员工旅游', '团建聚餐', '节日福利', '全勤奖', '底薪加提成']","['Scrapy', '爬虫经验', 'MySQL', 'Redis', 'Python']",10,5,0,1,0
大数据开发工程师,10-13K,长沙,岳麓区,望城坡,3-5年,大专,"['餐补', '年终奖', '节假日加班费', '五险一金', '团建聚餐', '员工旅游']","['Java', '要求数据开发经验', 'ETL开发经验', 'BI报表开发经验', '非外包类', '实时数仓开发经验', 'Spark', '数据平台开发经验', '数据仓库开发经验', 'Python', 'SQL']",10.0,13.0,1.0,11.5,3,5,4,大专,开发工程师,"['餐补', '年终奖', '节假日加班费', '五险一金', '团建聚餐', '员工旅游']","['Java', '要求数据开发经验', 'ETL开发经验', 'BI报表开发经验', '非外包类', '实时数仓开发经验', 'Spark', '数据平台开发经验', '数据仓库开发经验', 'Python', 'SQL']",6,11,0,1,0
Python开发工程师（AI方向）,12-18K·13薪,长沙,岳麓区,麓谷,3-5年,本科,"['定期体检', '五险一金', '年终奖', '股票期权', '带薪年假', '节日福利', '包吃', '员工旅游']","['Python', 'TensorFlow', 'PyTorch', 'MySQL', 'PostgreSQL', 'MongoDB', 'Linux开发/部署经验']",12.0,18.0,1.0833333333333333,16.25,3,5,5,本科,开发工程师,"['定期体检', '五险一金', '年终奖', '股票期权', '带薪年假', '节日福利', '包吃', '员工旅游']","['Python', 'TensorFlow', 'PyTorch', 'MySQL', 'PostgreSQL', 'MongoDB', 'Linux开发/部署经验']",8,7,1,1,0
中/高级测试工程师,8-11K,长沙,岳麓区,麓谷,5-10年,大专,"['意外险', '零食下午茶', '底薪加提成']","['功能测试', '性能测试', '压力测试', '计算机相关专业']",8.0,11.0,1.0,9.5,5,10,4,大专,测试工程师,"['意外险', '零食下午茶', '底薪加提成']","['功能测试', '性能测试', '压力测试', '计算机相关专业']",3,4,0,0,0
Python讲师助教,4-8K,长沙,岳麓区,麓谷,经验不限,大专,"['五险一金', '零食下午茶', '全勤奖', '带薪年假', '通讯补贴', '年终奖']","['Linux', '网络爬虫技术', '虚拟机技术', '服务器配置', 'Django', 'Scrapy', 'MySQL', 'Redis']",4.0,8.0,1.0,6.0,0,0,4,大专,开发工程师,"['五险一金', '零食下午茶', '全勤奖', '带薪年假', '通讯补贴', '年终奖']","['Linux', '网络爬虫技术', '虚拟机技术', '服务器配置', 'Django', 'Scrapy', 'MySQL', 'Redis']",6,8,0,0,0
数据分析师（六险+13薪+高速发展）,8-12K·13薪,长沙,岳麓区,麓谷,3-5年,本科,"['保底工资', '有无线网', '夜班补助', '绩效奖金', '五险', '零食下午茶', '年终奖', '生日福利', '团建聚餐', '意外险', '带薪年假', '宿舍有空调', '股票期权', '底薪加提成', '包住', '全勤奖', '餐补', '节日福利']","['Excel', 'Power BI', '数据分析/挖掘经验', '电商/零售行业数据相关经验', 'SQL', 'Python', '数学/统计相关专业']",8.0,12.0,1.0833333333333333,10.833333333333332,3,5,5,本科,数据分析/工程师,"['保底工资', '有无线网', '夜班补助', '绩效奖金', '五险', '零食下午茶', '年终奖', '生日福利', '团建聚餐', '意外险', '带薪年假', '宿舍有空调', '股票期权', '底薪加提成', '包住', '全勤奖', '餐补', '节日福利']","['Excel', 'Power BI', '数据分析/挖掘经验', '电商/零售行业数据相关经验', 'SQL', 'Python', '数学/统计相关专业']",18,7,0,1,0
Python+五险一金,14-20K,长沙,岳麓区,望城坡,3-5年,本科,"['餐补', '五险一金', '年终奖', '全勤奖', '团建聚餐', '员工旅游', '绩效奖金', '加班补助', '保底工资']","['Scrapy', '爬虫经验', 'MySQL', 'Python']",14.0,20.0,1.0,17.0,3,5,5,本科,开发工程师,"['餐补', '五险一金', '年终奖', '全勤奖', '团建聚餐', '员工旅游', '绩效奖金', '加班补助', '保底工资']","['Scrapy', '爬虫经验', 'MySQL', 'Python']",9,4,0,1,0
Python,8-13K·13薪,长沙,岳麓区,麓山路,1-3年,本科,[],"['Golang', 'Nginx', '团队管理经验', '分布式经验', 'Docker', 'Elasticsearch', '微服务经验', 'MySQL', '运维开发经验', 'Linux开发/部署经验', 'Python', 'Flask', 'Kubernetes']",8.0,13.0,1.0833333333333333,11.375,1,3,5,本科,开发工程师,[],"['Golang', 'Nginx', '团队管理经验', '分布式经验', 'Docker', 'Elasticsearch', '微服务经验', 'MySQL', '运维开发经验', 'Linux开发/部署经验', 'Python', 'Flask', 'Kubernetes']",0,13,0,1,0
Python Web应用开发,7-10K,长沙,,,1-3年,学历不限,[],"['网络爬虫技术', '网络编程', '网站建设']",7.0,10.0,1.0,8.5,1,3,1,学历不限,开发工程师,[],"['网络爬虫技术', '网络编程', '网站建设']",0,3,0,0,0
python开发工程师,8-11K,长沙,岳麓区,含浦,1-3年,本科,"['交通补助', '节日福利', '五险一金']","['PyTorch', 'MySQL', 'Linux开发/部署经验', 'Python', 'TensorFlow']",8.0,11.0,1.0,9.5,1,3,5,本科,开发工程师,"['交通补助', '节日福利', '五险一金']","['PyTorch', 'MySQL', 'Linux开发/部署经验', 'Python', 'TensorFlow']",3,5,0,1,0
Python程序员,8-9K,长沙,岳麓区,银盆岭,1-3年,本科,"['五险一金', '绩效奖金', '带薪年假', '有无线网']","['MySQL', 'Redis', 'Tornado', 'Python', 'Flask']",8.0,9.0,1.0,8.5,1,3,5,本科,开发工程师,"['五险一金', '绩效奖金', '带薪年假', '有无线网']","['MySQL', 'Redis', 'Tornado', 'Python', 'Flask']",4,5,0,1,0
数据分析师（双休+五险一金）,8-13K·13薪,长沙,岳麓区,银盆岭,3-5年,本科,"['休息日', '生日福利', '下午茶', '团建聚餐', '年终奖', '定期体检', '五险一金', '带薪年假', '员工旅游', '节日福利', '日常福利', '包住', '绩效奖金', '加班补助', '零食下午茶', '宿舍有空调']","['Python', 'SQL', '数学/统计相关专业', '数据分析/挖掘经验', '电商/零售行业数据相关经验']",8.0,13.0,1.0833333333333333,11.375,3,5,5,本科,数据分析/工程师,"['休息日', '生日福利', '下午茶', '团建聚餐', '年终奖', '定期体检', '五险一金', '带薪年假', '员工旅游', '节日福利', '日常福利', '包住', '绩效奖金', '加班补助', '零食下午茶', '宿舍有空调']","['Python', 'SQL', '数学/统计相关专业', '数据分析/挖掘经验', '电商/零售行业数据相关经验']",16,5,0,1,0
Python工程师,12-20K,长沙,岳麓区,梅溪湖,3-5年,本科,"['年终奖', '股票期权', '交通补助', '带薪年假', '节日福利', '加班补助', '零食下午茶', '五险一金']","['分布式经验', 'Django', 'PostgreSQL', 'Redis', 'MongoDB', 'Python', 'Flask', 'Kubernetes']",12.0,20.0,1.0,16.0,3,5,5,本科,开发工程师,"['年终奖', '股票期权', '交通补助', '带薪年假', '节日福利', '加班补助', '零食下午茶', '五险一金']","['分布式经验', 'Django', 'PostgreSQL', 'Redis', 'MongoDB', 'Python', 'Flask', 'Kubernetes']",8,8,0,1,0
Telegram全栈开发工程师,12-13K,长沙,岳麓区,含浦,3-5年,大专,"['带薪年假', '全勤奖', '团建聚餐', '节日福利', '法定节假日三薪', '零食下午茶', '生日福利', '底薪加提成', '加班补助', '员工旅游', '保底工资', '年终奖', '五险一金']","['CSS', '后端开发经验', 'Vue', 'PHP', '全栈无侧重', '计算机相关专业', '前端开发经验', 'Python', '全栈项目经验']",12.0,13.0,1.0,12.5,3,5,4,大专,开发工程师,"['带薪年假', '全勤奖', '团建聚餐', '节日福利', '法定节假日三薪', '零食下午茶', '生日福利', '底薪加提成', '加班补助', '员工旅游', '保底工资', '年终奖', '五险一金']","['CSS', '后端开发经验', 'Vue', 'PHP', '全栈无侧重', '计算机相关专业', '前端开发经验', 'Python', '全栈项目经验']",13,9,0,1,0
用户运营,5-8K,长沙,岳麓区,麓谷,3-5年,大专,"['加班补助', '工龄奖', '五险一金', '零食下午茶', '节假日加班费', '带薪年假', '法定节假日三薪', '员工活动', '股票期权', '节日福利', '年终奖', '团建聚餐']","['C端用户', 'B端用户']",5.0,8.0,1.0,6.5,3,5,4,大专,其他,"['加班补助', '工龄奖', '五险一金', '零食下午茶', '节假日加班费', '带薪年假', '法定节假日三薪', '员工活动', '股票期权', '节日福利', '年终奖', '团建聚餐']","['C端用户', 'B端用户']",12,2,0,0,0
python,9-14K,长沙,,,1-3年,本科,"['带薪年假', '定期体检', '交通补助', '零食下午茶', '五险一金', '员工旅游', '通讯补贴', '加班补助', '股票期权', '节日福利']","['Python', 'Django', 'Flask', 'Tornado', 'PyTorch', 'Kafka', 'MySQL', 'Oracle']",9.0,14.0,1.0,11.5,1,3,5,本科,开发工程师,"['带薪年假', '定期体检', '交通补助', '零食下午茶', '五险一金', '员工旅游', '通讯补贴', '加班补助', '股票期权', '节日福利']","['Python', 'Django', 'Flask', 'Tornado', 'PyTorch', 'Kafka', 'MySQL', 'Oracle']",10,8,0,1,0
软件开发,5-7K,长沙,岳麓区,银盆岭,1年以内,本科,[],[],5.0,7.0,1.0,6.0,0,1,5,本科,开发工程师,[],[],0,0,0,0,0
Python后台开发,7-12K,长沙,岳麓区,麓谷,1-3年,学历不限,"['员工旅游', '加班补助', '节日福利', '餐补', '年终奖', '补充医疗保险', '零食下午茶', '交通补助']",['后台开发'],7.0,12.0,1.0,9.5,1,3,1,学历不限,开发工程师,"['员工旅游', '加班补助', '节日福利', '餐补', '年终奖', '补充医疗保险', '零食下午茶', '交通补助']",['后台开发'],8,1,0,0,0
软件开发（java、python、前端等）可零基础,15-30K·15薪,长沙,岳麓区,望城坡,经验不限,本科,"['夜班补助', '年终奖', '意外险', '股票期权', '员工旅游', '团建聚餐', '加班补助', '保底工资', '底薪加提成', '带薪年假', '绩效奖金', '节日福利', '零食下午茶', '法定节假日三薪', '节假日加班费', '定期体检', '补充医疗保险', '五险一金']","['Java', 'C', 'C++', 'Python', 'C#', '不接受居家办公']",15.0,30.0,1.25,28.125,0,0,5,本科,开发工程师,"['夜班补助', '年终奖', '意外险', '股票期权', '员工旅游', '团建聚餐', '加班补助', '保底工资', '底薪加提成', '带薪年假', '绩效奖金', '节日福利', '零食下午茶', '法定节假日三薪', '节假日加班费', '定期体检', '补充医疗保险', '五险一金']","['Java', 'C', 'C++', 'Python', 'C#', '不接受居家办公']",18,6,0,1,0
python开发工程师,8-10K,长沙,岳麓区,麓谷,1-3年,本科,"['定期体检', '零食下午茶', '全勤奖', '五险一金', '节日福利', '交通补助', '带薪年假', '包吃', '通讯补贴', '年终奖']","['Python', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis', 'Linux开发/部署经验', 'shell编程']",8.0,10.0,1.0,9.0,1,3,5,本科,开发工程师,"['定期体检', '零食下午茶', '全勤奖', '五险一金', '节日福利', '交通补助', '带薪年假', '包吃', '通讯补贴', '年终奖']","['Python', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis', 'Linux开发/部署经验', 'shell编程']",10,8,0,1,0
Python工程师,7-12K,长沙,岳麓区,银盆岭,1-3年,本科,"['员工旅游', '股票期权', '团建聚餐', '绩效奖金', '五险一金']","['Docker', 'Pandas', 'MySQL', 'Numpy', 'Python']",7.0,12.0,1.0,9.5,1,3,5,本科,开发工程师,"['员工旅游', '股票期权', '团建聚餐', '绩效奖金', '五险一金']","['Docker', 'Pandas', 'MySQL', 'Numpy', 'Python']",5,5,0,1,0
工业自动化数据采集工程师（水务行业）,10-15K,长沙,岳麓区,银盆岭,3-5年,大专,"['团建聚餐', '股票期权', '员工旅游', '五险一金', '带薪年假', '零食下午茶', '年终奖']",[],10.0,15.0,1.0,12.5,3,5,4,大专,爬虫工程师,"['团建聚餐', '股票期权', '员工旅游', '五险一金', '带薪年假', '零食下午茶', '年终奖']",[],7,0,0,0,0
